Task number,Current reward
0,0.0
1,0.0
2,0.0
3,-92.5
4,-92.5
5,-92.5
6,-84.5
7,-84.5
8,-84.5
9,-84.5
10,-84.0
11,-73.0
12,-73.0
13,-73.0
14,56.0
-1,56.0
