Task number,Current reward
0,-85.0
1,-161.0
2,-244.5
3,-336.5
4,-91.0
5,109.00000000000045
6,109.00000000000045
7,225.99999999999955
8,252.0
9,422.5
10,632.5
11,632.5
12,1031.5
13,1469.0
14,1698.0
-1,2772.0
