Task number,Current reward
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,-1.0
9,393.0
10,393.0
11,646.0
12,683.5
13,683.5
14,1177.5
15,1177.5
16,1177.5
17,1177.5
18,1514.5
19,1514.5
-1,1613.5
