Task number,Current reward
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-1.5
7,-1.5
8,-1.5
9,-1.5
10,-2.0
11,-2.0
12,121.00000000000023
13,121.00000000000023
14,120.0
-1,147.5
