Task number,Current reward
0,0.0
1,0.0
2,-0.5
3,-0.5
4,175.0
5,175.0
6,175.0
7,173.0
8,299.0
9,386.0
10,386.0
11,418.0
12,418.0
13,681.5
14,681.5
-1,1239.5
