Task number,Current reward
0,0.0
1,-312.99999999999955
2,-312.99999999999955
3,-662.0
4,277.0
5,277.0
6,277.0
7,277.0
8,277.0
9,277.0
10,277.0
11,277.0
12,277.0
13,928.0
14,928.0
15,928.0
16,928.0
17,928.0
18,987.0
19,987.0
-1,2211.0
