Task number,Current reward
0,-85.0
1,-160.5
2,-244.5
3,-336.5
4,-336.5
5,0.5
6,297.5
7,297.5
8,656.5
9,1134.5
10,1480.0
11,1523.0
12,1800.0
13,2055.0
14,2496.0
-1,4028.0
