Task number,Current reward
0,0.0
1,0.0
2,-83.5
3,-83.5
4,101.0
5,101.0
6,101.0
7,101.0
8,374.0
9,516.0
10,516.0
11,516.0
12,531.5
13,866.0
14,866.0
-1,1674.0
