Task number,Current reward
0,7.0
1,9.0
2,15.0
3,21.00000000000091
4,27.0
5,27.0
6,31.0
7,41.0
8,41.0
9,41.0
10,44.0
11,44.0
12,45.0
13,45.5
14,45.5
15,45.5
16,45.5
17,51.5
18,51.5
19,59.5
-1,103.0
