Task number,Current reward
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,286.0
10,286.0
11,480.0
12,480.0
13,480.0
14,569.0
15,569.0
16,569.0
17,569.0
18,1013.0
19,1013.0
-1,1112.0
