Task number,Current reward
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.0
9,225.0
10,225.0
11,424.0
12,424.0
13,424.0
14,508.0
15,508.0
16,508.0
17,508.0
18,1008.0
19,1008.0
-1,1107.0
